Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
03128;HURIEL;03380;;HURIEL;46.377382962, 2.481901234
03131;ISSERPENT;03120;;ISSERPENT;46.154072718, 3.618338058
03133;JENZAT;03800;;JENZAT;46.159750955, 3.196822442
03134;LAFELINE;03500;;LAFELINE;46.344463776, 3.175895452
03140;LAVAULT STE ANNE;03100;;LAVAULT STE ANNE;46.309148396, 2.601114158
03159;MALICORNE;03600;;MALICORNE;46.307412729, 2.770704472
03167;MAZIRAT;03420;;MAZIRAT;46.218775199, 2.554989231
03170;MEILLERS;03210;;MEILLERS;46.51357558, 3.101870093
03182;MONTEIGNET SUR L ANDELOT;03800;;MONTEIGNET SUR L ANDELOT;46.115275238, 3.24845855
03183;LE MONTET;03240;;LE MONTET;46.405665047, 3.053956003
03198;NEURE;03320;;NEURE;46.744818324, 2.978845459
03206;LA PETITE MARCHE;03420;;LA PETITE MARCHE;46.189832165, 2.561282437
03209;POEZAT;03800;;POEZAT;46.075888177, 3.226948066
03214;ROCLES;03240;;ROCLES;46.444307501, 3.036674783
03222;ST CAPRAIS;03190;;ST CAPRAIS;46.544938374, 2.739456083
03223;ST CHRISTOPHE;03120;;ST CHRISTOPHE;46.166487253, 3.578648418
03233;ST GENEST;03310;;ST GENEST;46.263579524, 2.603199818
03235;ST GERAND LE PUY;03150;;ST GERAND LE PUY;46.263699055, 3.511982278
03238;ST HILAIRE;03440;;ST HILAIRE;46.486942001, 3.015409147
03239;ST LEGER SUR VOUZANCE;03130;;ST LEGER SUR VOUZANCE;46.408901796, 3.937412669
03240;ST LEON;03220;;ST LEON;46.410677105, 3.687643625
03250;ST PIERRE LAVAL;42620;;ST PIERRE LAVAL;46.195224124, 3.770570857
03258;ST REMY EN ROLLAT;03110;;ST REMY EN ROLLAT;46.192737108, 3.383402111
03261;STE THERENCE;03420;;STE THERENCE;46.243147615, 2.573218801
03262;ST VICTOR;03410;;ST VICTOR;46.388314616, 2.609223634
03265;SALIGNY SUR ROUDON;03470;;SALIGNY SUR ROUDON;46.462889843, 3.751376583
03269;SAUVAGNY;03430;;SAUVAGNY;46.434413053, 2.799045731
03272;SERVILLY;03120;;SERVILLY;46.280001638, 3.589887448
03287;TREBAN;03240;;TREBAN;46.399289283, 3.165455142
03296;VALIGNY;03360;;VALIGNY;46.715547207, 2.820435045
03297;VALLON EN SULLY;03190;;VALLON EN SULLY;46.540147686, 2.61657844
03299;VARENNES SUR TECHE;03220;;VARENNES SUR TECHE;46.31746107, 3.63768231
03301;VAUX;03190;;VAUX;46.421468926, 2.574684189
03303;VENAS;03190;;VENAS;46.472608626, 2.766778956
04012;AUBENAS LES ALPES;04110;;AUBENAS LES ALPES;43.933926212, 5.676594668
04020;BARLES;04140;;BARLES;44.272819381, 6.253258479
04021;BARRAS;04380;;BARRAS;44.100626374, 6.098443052
04023;BAYONS;04250;ESPARRON LA BATIE;BAYONS;44.325166073, 6.172891445
04024;BEAUJEU;04420;;BEAUJEU;44.218434265, 6.371540779
04032;BRAUX;04240;;BRAUX;43.993121023, 6.6990172
04033;UBAYE SERRE PONCON;04340;ST VINCENT LES FORTS;UBAYE SERRE PONCON;44.441498992, 6.31859203
04035;BRUNET;04210;;BRUNET;43.885919144, 6.033181131
04036;LE BRUSQUET;04420;;LE BRUSQUET;44.168338068, 6.303394881
04039;CASTELLANE;04120;EOULX;CASTELLANE;43.844877027, 6.490135474
04040;LE CASTELLARD MELAN;04380;MELAN;LE CASTELLARD MELAN;44.202119682, 6.131282474
04041;LE CASTELLET;04700;;LE CASTELLET;43.919932559, 5.979391537
04055;CHAUDON NORANTE;04330;;CHAUDON NORANTE;43.991870662, 6.317152817
04069;DEMANDOLX;04120;;DEMANDOLX;43.869864581, 6.573449828
04073;ENCHASTRAYES;04400;LE SAUZE;ENCHASTRAYES;44.36400889, 6.710772982
04075;ENTREPIERRES;04200;;ENTREPIERRES;44.195957297, 6.022176931
04081;ESPARRON DE VERDON;04800;ALBIOSC;ESPARRON DE VERDON;43.743694432, 5.988997369
04087;FONTIENNE;04230;;FONTIENNE;44.006155656, 5.794169899
04094;GREOUX LES BAINS;04800;;GREOUX LES BAINS;43.767601156, 5.865168462
04101;LARDIERS;04230;;LARDIERS;44.084634181, 5.726598548
04113;MARCOUX;04420;;MARCOUX;44.128099152, 6.279927689
04116;LES MEES;04190;;LES MEES;43.994664854, 5.966128194
04120;VAL D ORONAYE;04530;MEYRONNES;VAL D ORONAYE;44.444385669, 6.849917188
