Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|22/01/2021|Vente|187000,00|333||RUE|0161|DES GRANGES BONNET|1960|PERONNAS|01|289||AC|113||||||||||||0|1|Maison||105|5|S||600
|||||||000001|22/01/2021|Vente|280000,00|18||RUE|1790|DE LA GRENOUILLERE|1000|BOURG-EN-BRESSE|01|53||AC|394||922||954||||||||2|2|Appartement||125|5|||
|||||||000001|22/01/2021|Vente|182650,00|154||RUE|3790|YVES MONTAND|1000|BOURG-EN-BRESSE|01|53||BZ|275||525||||||||||1|3|Dépendance||0|0|||
|||||||000001|22/01/2021|Vente|182650,00|154||RUE|3790|YVES MONTAND|1000|BOURG-EN-BRESSE|01|53||BZ|275||538||548||||||||2|2|Appartement||83|4|||
|||||||000001|22/01/2021|Vente|182650,00|154||RUE|3790|YVES MONTAND|1000|BOURG-EN-BRESSE|01|53||BZ|275||536||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2021|Vente|39000,00|10||RUE|0340|BARA|1000|BOURG-EN-BRESSE|01|53||AZ|73||7||||||||||1|2|Appartement||40|2|||
|||||||000001|06/01/2021|Vente|39000,00|10||RUE|0340|BARA|1000|BOURG-EN-BRESSE|01|53||AZ|73||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|18/01/2021|Vente|11000,00|2||RUE|0930|DU CLAIR MATIN|1000|BOURG-EN-BRESSE|01|53||BM|320||175||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2021|Vente|338800,00|17||RUE|1320|EDGAR  QUINET|1000|BOURG-EN-BRESSE|01|53||AD|572||28||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2021|Vente|338800,00|17||RUE|1320|EDGAR  QUINET|1000|BOURG-EN-BRESSE|01|53||AD|572||11||18||||||||2|2|Appartement||200|7|||
|||||||000001|07/01/2021|Vente|195480,00|8||RUE|1790|DE LA GRENOUILLERE|1000|BOURG-EN-BRESSE|01|53||AC|388||40||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2021|Vente|195480,00|8||RUE|1790|DE LA GRENOUILLERE|1000|BOURG-EN-BRESSE|01|53||AC|388||50||58||60||||||3|2|Appartement||118|5|||
|||||||000001|06/01/2021|Vente|420000,00|13||RUE|2190|LAMARTINE|1000|BOURG-EN-BRESSE|01|53||AN|65||||||||||||0|1|Maison||178|8|S||641
|||||||000001|12/01/2021|Vente|111300,00|2||RUE|0930|DU CLAIR MATIN|1000|BOURG-EN-BRESSE|01|53||BM|320||72||82||||||||2|2|Appartement||57|3|||
|||||||000001|06/01/2021|Vente|87500,00|16||RUE|1510|DE FENILLE|1000|BOURG-EN-BRESSE|01|53||BC|168||34||||||||||1|2|Appartement||57|2|||
|||||||000001|26/01/2021|Vente|3881,00||||B349|EN GRUMET|1370|VAL-REVERMONT|01|426|137|AC|93||||||||||||0||||||P||649
|||||||000001|26/01/2021|Vente|3881,00||||B349|EN GRUMET|1370|VAL-REVERMONT|01|426|137|AC|94||||||||||||0||||||BS||369
|||||||000001|26/01/2021|Vente|3881,00||||B348|A LA GRILLETTE|1370|VAL-REVERMONT|01|426|137|AC|181||||||||||||0||||||BS||1607
