Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|11/01/2022|Vente|209000,00||||B004|BAGE LA VILLE|1380|BAGE-DOMMARTIN|01|25||F|2177||||||||||||0||||||S||989
|||||||000001|04/01/2022|Vente|182000,00|20||AV|0085|DE VESSY|1210|FERNEY-VOLTAIRE|01|160||AK|161||233|37,16|41||||||||2|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|182000,00|20||AV|0085|DE VESSY|1210|FERNEY-VOLTAIRE|01|160||AK|161||233|37,16|41||||||||2|2|Appartement||37|1|||
|||||||000001|04/01/2022|Vente|182000,00|18||AV|0085|DE VESSY|1210|FERNEY-VOLTAIRE|01|160||AK|161||94||||||||||1|3|Dépendance||0|0|||
|||||||000001|11/01/2022|Vente|133600,00|6||CHE|0293|DE LA CHANAZ|1250|NIVIGNE ET SURAN|01|95|172|ZE|48||||||||||||0|1|Maison||63|1|S||1430
|||||||000001|11/01/2022|Vente|133600,00|6||CHE|0293|DE LA CHANAZ|1250|NIVIGNE ET SURAN|01|95|172|ZE|48||||||||||||0|3|Dépendance||0|0|S||1430
|||||||000001|11/01/2022|Vente|133600,00||||B177|LA CHANAZ|1250|NIVIGNE ET SURAN|01|95|172|ZE|49||||||||||||0||||||P||1600
|||||||000001|10/01/2022|Vente|306000,00|37||RUE|0055|DE LA MAISON FORTE|1220|GRILLY|01|180||AP|174||46||65|52,15|||||||2|2|Appartement||52|2|||
|||||||000001|10/01/2022|Vente|306000,00|35||RUE|0055|DE LA MAISON FORTE|1220|GRILLY|01|180||AP|174||22||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2022|Vente|306000,00|37||RUE|0055|DE LA MAISON FORTE|1220|GRILLY|01|180||AP|174||46||65|52,15|||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2022|Vente en l'état futur d'achèvement|554510,00|||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AC|170||67||||||||||1||||||||
|||||||000001|06/01/2022|Vente en l'état futur d'achèvement|554510,00|||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AC|170||69||||||||||1||||||||
|||||||000001|06/01/2022|Vente en l'état futur d'achèvement|554510,00|||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AC|170||53||||||||||1||||||||
|||||||000001|06/01/2022|Vente en l'état futur d'achèvement|554510,00|||GR|0055|GRANDE RUE|1340|MONTREVEL-EN-BRESSE|01|266||AC|170||30||||||||||1||||||||
